calendar week,Not documented in an outbreak,Private household,Retirement/nursing home,Work place,Educational institution,Leisure,Overnight stay,Other,Unknown,Residences,Refugee accomodation,Health care centre,Medical practice,Medical rehabilitation,"Kindergarten, after-school child care",Dining venue,Public transport,Hospital,Care facility,Day-care centre for the elderly,Residential home,sum of cases,Not documented in an outbreak (%),Private household (%),Retirement/nursing home (%),Work place (%),Educational institution (%),Leisure (%),Overnight stay (%),Other (%),Unknown (%),Residences (%),Refugee accomodation (%),Health care centre (%),Medical practice (%),Medical rehabilitation (%),"Kindergarten, after-school child care (%)",Dining venue (%),Public transport (%),Hospital (%),Care facility (%),Day-care centre for the elderly (%),Residential home (%)
2020 - 09,50,2,1,1,3.0,73.0,5.0,3,1,,,,,,,,,,,,,139,35.97122302158273,1.4388489208633095,0.7194244604316548,0.7194244604316548,2.158273381294964,52.51798561151079,3.597122302158273,2.158273381294964,0.7194244604316548,,,,,,,,,,,,
2020 - 10,420,42,14,15,4.0,271.0,7.0,47,48,3.0,2.0,2.0,2.0,2.0,5.0,13.0,2.0,,,,,899,46.71857619577308,4.671857619577309,1.557285873192436,1.668520578420467,0.44493882091212456,30.14460511679644,0.778642936596218,5.228031145717464,5.3392658509454956,0.33370411568409347,0.22246941045606228,0.22246941045606228,0.22246941045606228,0.22246941045606228,0.5561735261401557,1.4460511679644048,0.22246941045606228,,,,
2020 - 11,4776,393,47,40,9.0,472.0,170.0,182,148,35.0,2.0,2.0,16.0,1.0,6.0,73.0,18.0,40.0,1.0,1.0,,6432,74.25373134328358,6.110074626865672,0.7307213930348259,0.6218905472636816,0.13992537313432835,7.338308457711443,2.643034825870647,2.8296019900497513,2.300995024875622,0.5441542288557214,0.03109452736318408,0.03109452736318408,0.24875621890547264,0.01554726368159204,0.09328358208955223,1.1349502487562189,0.2798507462686567,0.6218905472636816,0.01554726368159204,0.01554726368159204,
2020 - 12,19202,1127,177,82,39.0,429.0,268.0,430,198,43.0,20.0,18.0,45.0,36.0,7.0,58.0,11.0,139.0,29.0,25.0,6.0,22389,85.76533118942338,5.0337219170128185,0.7905667961945597,0.36625128411273394,0.1741926839072759,1.9161195229800347,1.1970163919782035,1.9205860020545802,0.884362856760016,0.19205860020545804,0.0893295814909107,0.08039662334181964,0.20099155835454913,0.16079324668363928,0.03126535352181875,0.25905578632364107,0.04913126982000089,0.6208405913618295,0.12952789316182053,0.1116619768636384,0.026798874447273215
2020 - 13,28446,2147,961,170,39.0,223.0,139.0,454,356,117.0,54.0,43.0,149.0,61.0,26.0,49.0,24.0,319.0,107.0,37.0,43.0,33964,83.75338593805206,6.321399128488989,2.8294664939347545,0.5005299729124956,0.1148274643740431,0.6565775527028619,0.40925686020492286,1.3367094570721942,1.0481686491579318,0.3444823931221293,0.15899187374867507,0.1266046402072783,0.4386997997880109,0.17960193145683664,0.07655164291602873,0.1442704039571311,0.07066305499941114,0.9392297727005064,0.31503945353904134,0.10893887645742552,0.1266046402072783
2020 - 14,27562,2026,2968,264,15.0,77.0,33.0,208,686,169.0,199.0,73.0,163.0,265.0,7.0,13.0,14.0,763.0,340.0,194.0,13.0,36052,76.45068234771996,5.619660490402752,8.23255297903029,0.7322756019083546,0.04160656829024742,0.21358038388993675,0.09153445023854433,0.5769444136247642,1.9028070564739823,0.46876733607012094,0.5519804726506158,0.20248529901253748,0.452124708754022,0.7350493731277045,0.019416398535448798,0.036059025851547764,0.038832797070897596,2.1163874403639187,0.9430822145789416,0.5381116165538666,0.036059025851547764
2020 - 15,18939,1307,3267,164,4.0,35.0,10.0,164,511,151.0,573.0,120.0,104.0,297.0,1.0,3.0,5.0,883.0,372.0,192.0,28.0,27130,69.8083302617029,4.817545152967195,12.042019904165132,0.6044968669369701,0.01474382602285293,0.12900847769996315,0.036859565057132324,0.6044968669369701,1.8835237744194617,0.5565794323626981,2.112053077773682,0.44231478068558794,0.38333947659417617,1.09472908219683,0.0036859565057132324,0.011057869517139699,0.018429782528566162,3.254699594544784,1.3711758201253226,0.7077036490969407,0.10320678215997052
2020 - 16,11708,760,2260,285,,12.0,4.0,68,329,111.0,532.0,70.0,57.0,191.0,,1.0,2.0,607.0,204.0,105.0,20.0,17326,67.57474316056793,4.386471199353573,13.043980145446149,1.6449266997575898,,0.06926007156874062,0.02308669052291354,0.39247373888953013,1.8988802955096387,0.6406556620108508,3.070529839547501,0.40401708415098697,0.3289853399515179,1.1023894724691217,,0.005771672630728385,0.01154334526145677,3.50340528685213,1.1774212166685905,0.6060256262264805,0.11543345261456771
2020 - 17,8164,592,1482,237,,11.0,,59,309,57.0,544.0,39.0,46.0,165.0,1.0,,,387.0,157.0,91.0,8.0,12349,66.1106162442303,4.793910438092153,12.000971738602315,1.9191837395740545,,0.08907603854563123,,0.477771479472022,2.502226900963641,0.46157583610008907,4.405214997165762,0.31581504575269254,0.37249979755445783,1.3361405781844684,0.008097821685966476,,,3.133856992469026,1.2713580046967365,0.7369017734229493,0.06478257348773181
2020 - 18,4872,385,714,242,,2.0,,44,183,20.0,420.0,19.0,39.0,55.0,10.0,,,292.0,68.0,62.0,,7427,65.59849198868991,5.183788878416588,9.613572101790764,3.258381580718998,,0.026928773394371885,,0.5924330146761815,2.4639827655850275,0.26928773394371885,5.655042412818096,0.2558233472465329,0.5251110811902518,0.7405412683452269,0.13464386697185943,,,3.9316009155782954,0.9155782954086441,0.8347919752255285,
