calendar week,reporting year,reporting week,reported cases,mean age,men,women,number with information on symptoms,proportion of no symptoms or no symptoms significant for COVID-19,number with hospitalization data,number hospitalized,proportion hospitalized,number deceased,proportion deceased,no symptoms or no symptoms significant for COVID-19 in %,hospitalized in %,deceased in %,cases hospitalized age group 00 - 04,cases hospitalized age group 05 - 14,cases hospitalized age group 15 - 34,cases hospitalized age group 35 - 59,cases hospitalized age group 60 - 79,cases hospitalized age group 80+,cases not hospitalized,cases not known if hospitalized,cases hospitalized unknown age group
2020 - 10,2020,10,897,43,0.5295429208472687,0.4704570791527313,836,0.0837320574162679,809,165,0.2039555006180469,12,0.01337792642,8.373205741626794,20.39555006180469,1.337792642,,,,,,,644,88,165.0
2020 - 11,2020,11,6429,45,0.5626264197915046,0.4373735802084954,5765,0.0532523850823937,5631,533,0.0946545906588527,85,0.01322134079,5.325238508239376,9.465459065885277,1.322134079,,,,,,,5098,798,533.0
2020 - 12,2020,12,22415,45,0.5499263491496674,0.4500736508503325,20159,0.0389404236321246,19381,2229,0.1150095454310923,478,0.02132500557,3.894042363212461,11.50095454310923,2.132500557,,,,,,,17152,3034,2229.0
2020 - 13,2020,13,33971,48,0.4948890918196011,0.5051109081803988,30824,0.0329288865818842,29520,5143,0.174220867208672,1463,0.04306614465,3.2928886581884247,17.42208672086721,4.306614465,,,,,,,24377,4451,5143.0
2020 - 14,2020,14,36058,51,0.4507632528448515,0.5492367471551485,32041,0.0555226116538185,31619,6091,0.1926373383092444,2260,0.06267679849,5.552261165381855,19.263733830924444,6.267679849,,,,,,,25528,4439,6091.0
2020 - 15,2020,15,27160,52,0.4346960592767354,0.5653039407232646,23583,0.084637238688886,24152,4730,0.1958429943689963,1878,0.06914580265,8.463723868888607,19.584299436899634,6.914580265000001,,,,,,,19422,3008,4730.0
2020 - 16,2020,16,17345,51,0.4472469121551425,0.5527530878448574,14877,0.1146736573233851,15530,3379,0.2175788795878944,1217,0.07016431248,11.467365732338507,21.75788795878944,7.016431248000001,,,,,,,12151,1815,3379.0
2020 - 17,2020,17,12360,50,0.4498096086850847,0.5501903913149153,10270,0.1392405063291139,10983,2240,0.2039515615041427,721,0.05833333333,13.924050632911392,20.39515615041428,5.833333333,,,,,,,8743,1377,2240.0
2020 - 18,2020,18,7437,48,0.4777987082884822,0.5222012917115177,6257,0.1756432795269298,6609,1365,0.2065365410803449,386,0.05190264891,17.564327952692985,20.653654108034495,5.190264891,,,,,,,5244,828,1365.0
2020 - 19,2020,19,6237,47,0.4801797464291446,0.5198202535708554,5252,0.1966869763899467,5630,1081,0.1920071047957371,257,0.04120570787,19.66869763899467,19.20071047957371,4.120570787,,,,,,,4549,607,1081.0
