calendar week,year of death,week of death,age group 00 - 09,age group 10 - 19,age group 20 - 29,age group 30 - 39,age group 40 - 49,age group 50 - 59,age group 60 - 69,age group 70 - 79,age group 80 - 89,age group 90+,sum of cases,age group 00 - 09 (%),age group 10 - 19 (%),age group 20 - 29 (%),age group 30 - 39 (%),age group 40 - 49 (%),age group 50 - 59 (%),age group 60 - 69 (%),age group 70 - 79 (%),age group 80 - 89 (%),age group 90+ (%)
2020 - 10,2020,10,0,0,0,0,0,2,2,0,0,0,4,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2020 - 11,2020,11,0,0,0,0,0,0,2,6,11,0,19,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,31.57894736842105,57.89473684210527,0.0
2020 - 12,2020,12,0,0,0,0,2,8,7,36,85,25,163,0.0,0.0,0.0,0.0,1.2269938650306749,4.9079754601226995,4.294478527607362,22.085889570552148,52.14723926380368,15.337423312883436
2020 - 13,2020,13,0,0,2,2,7,19,60,144,293,75,602,0.0,0.0,0.33222591362126247,0.33222591362126247,1.1627906976744187,3.1561461794019934,9.966777408637874,23.920265780730897,48.671096345514954,12.458471760797343
2020 - 14,2020,14,0,0,2,5,9,55,127,320,593,260,1371,0.0,0.0,0.14587892049598833,0.36469730123997085,0.6564551422319475,4.011670313639679,9.263311451495259,23.340627279358134,43.25309992706054,18.964259664478483
2020 - 15,2020,15,2,0,2,2,14,51,142,392,810,332,1747,0.11448196908986834,0.0,0.11448196908986834,0.11448196908986834,0.8013737836290785,2.919290211791643,8.128219805380652,22.438465941614197,46.36519748139668,19.004006868918143
2020 - 16,2020,16,0,0,0,2,13,38,145,362,706,328,1594,0.0,0.0,0.0,0.12547051442910914,0.8155583437892095,2.3839397741530743,9.096612296110413,22.710163111668756,44.291091593475535,20.5771643663739
2020 - 17,2020,17,0,2,2,5,4,37,112,238,533,242,1175,0.0,0.1702127659574468,0.1702127659574468,0.425531914893617,0.3404255319148936,3.148936170212766,9.53191489361702,20.25531914893617,45.361702127659576,20.595744680851062
2020 - 18,2020,18,0,0,2,2,4,40,89,175,342,146,800,0.0,0.0,0.25,0.25,0.5,5.0,11.125,21.875,42.75,18.25
2020 - 19,2020,19,0,0,2,2,5,13,49,120,222,104,517,0.0,0.0,0.3868471953578337,0.3868471953578337,0.9671179883945842,2.5145067698259185,9.477756286266924,23.21083172147002,42.94003868471953,20.116054158607348
