date,number of reporting areas,COVID-19 cases,occupied intensive care beds,free intensive care beds,emergency reserve,intensive care patients with positive COVID-19 test,invasively ventilated,with treatment completed,thereof deceased,intensive care patients without positive COVID-19 test,in intensive care treatment (change from previous day),thereof invasively ventilated (change from previous day),with treatment completed (change from previous day),thereof deceased (change from previous day),newly admitted intensive care patients with a positive COVID-19 test,newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),intensive care patients with positive COVID-19 test (mean ±3 days),thereof invasively ventilated (mean ±3 days),invasively ventilated (%),Proportion of occupied intensive care beds (%),Proportion of occupied intensive care beds incl. emergency reserve (%),Proportion of patients with positive COVID-19 test in occupied intensive care beds (%),Proportion of patients with positive COVID-19 test in available intensive care beds without emergency reserve (%),Proportion of patients with positive COVID-19 test in available intensive care beds incl. emergency reserve (%),intensive care patients with positive COVID-19 test (change from previous day),"intensive care patients with positive COVID-19 test (change from previous day, mean ±3 days)",not invasively ventilated,invasively ventilated (change from previous day),invasively ventilated (mean ±3 days),number of intensive care beds,number of intensive care beds incl. emergency reserve,number of occupied intensive care beds (mean ±3 days),"with treatment completed (change from previous day, mean ±3 days)",R value calculated by newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test,calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),R value by calculated onset of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days)
2020-03-20,317.0,200.0,598.0,2921.0,0.0,,,,,398.0,,,,,,,,,,16.99346405228758,16.99346405228758,33.44481605351171,5.683432793407218,5.683432793407218,,,,,,3519.0,3519.0,,,,,,
2020-03-21,417.0,308.0,2871.0,3627.0,0.0,,,,,2563.0,,,,,,,,,,44.18282548476454,44.18282548476454,10.727969348659004,4.739919975377039,4.739919975377039,108.0,,,,,6498.0,6498.0,,,,,,
2020-03-22,441.0,364.0,3300.0,3783.0,0.0,,,,,2936.0,,,,,,,,,,46.59042778483693,46.59042778483693,11.030303030303031,5.139065367782013,5.139065367782013,56.0,,,,,7083.0,7083.0,,,,,,
2020-03-23,479.0,451.0,3832.0,4121.0,0.0,,,,,3381.0,,,,,,,,,,48.18307556896769,48.18307556896769,11.769311064718163,5.670816044260028,5.670816044260028,87.0,,,,,7953.0,7953.0,3889.8571428571427,,,,,
2020-03-24,552.0,616.0,4942.0,4797.0,0.0,,,,,4326.0,,,,,,,,,,50.7444296128966,50.7444296128966,12.464589235127479,6.32508471095595,6.32508471095595,165.0,100.71428571428571,,,,9739.0,9739.0,4722.428571428572,,,,,
2020-03-25,602.0,789.0,5596.0,5173.0,0.0,,,,,4807.0,,,,,,,,,,51.96397065651407,51.96397065651407,14.099356683345246,7.326585569690779,7.326585569690779,173.0,99.0,,,,10769.0,10769.0,5297.285714285715,,,,,
2020-03-26,611.0,824.0,6090.0,5239.0,0.0,,,,,5266.0,,,,,,,,,,53.75584782416807,53.75584782416807,13.530377668308702,7.273369229411246,7.273369229411246,35.0,99.85714285714286,,,,11329.0,11329.0,5807.857142857143,,,,,
2020-03-27,628.0,905.0,6426.0,5479.0,0.0,,,,,5521.0,,,,,,,,,,53.97732045359093,53.97732045359093,14.083411142234672,7.601847963040739,7.601847963040739,81.0,107.42857142857143,,,,11905.0,11905.0,6292.571428571428,,,952.0,,
2020-03-28,637.0,1001.0,6895.0,5497.0,0.0,,,,,5894.0,,,,,,,,,,55.64073595868302,55.64073595868302,14.51776649746193,8.077792123950935,8.077792123950935,96.0,133.57142857142858,,,,12392.0,12392.0,6808.0,,,643.0,,
2020-03-29,634.0,1063.0,6874.0,5589.0,0.0,,,,,5811.0,,,,,,,,,,55.155259568322236,55.155259568322236,15.46406750072738,8.529246569846746,8.529246569846746,62.0,142.28571428571428,,,,12463.0,12463.0,7361.428571428572,,,-39.0,,
