date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-02-22,,,,,,,,,,,,,,,,,,
2020-02-23,,,,,,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,225.0,213.0,238.0,,,,,,,
2020-02-27,,,,,,,,,261.0,248.0,276.0,,,,,,,
2020-02-28,,,,,,,,,326.0,311.0,342.0,,,,,,,
2020-02-29,,,,,,,,,394.0,378.0,412.0,,,,468.7142857142857,,,
2020-03-01,,,,,,,,,507.0,488.0,528.0,2.34,2.28,2.39,618.5714285714286,,,
2020-03-02,225.0,213.0,238.0,,,,,,673.0,651.0,696.0,2.56,2.51,2.61,828.1428571428571,,,
2020-03-03,261.0,248.0,276.0,,,,,,895.0,870.0,922.0,2.93,2.88,2.98,1109.0,,,2.8129516791837887
2020-03-04,326.0,311.0,342.0,,,,,,1274.0,1245.0,1304.0,3.13,3.08,3.18,1461.0,,,2.585304264324074
2020-03-05,394.0,378.0,412.0,,,,468.7142857142857,,1728.0,1695.0,1764.0,3.22,3.18,3.26,1880.2857142857142,,,2.334461013829874
2020-03-06,507.0,488.0,528.0,2.34,2.28,2.39,618.5714285714286,,2292.0,2253.0,2332.0,3.12,3.08,3.16,2342.285714285714,,,2.0947042988138307
2020-03-07,673.0,651.0,696.0,2.56,2.51,2.61,828.1428571428571,,2858.0,2810.0,2901.0,2.84,2.82,2.87,2824.0,2.8129516791837887,,1.8811478850771584
